year;month;icd_code;r_code;liczba.porad;liczba.pacjentow
2019;1;A00-B99;A00;53;53
2019;1;A00-B99;A01;13;13
2019;1;A00-B99;A02;140;128
2019;1;A00-B99;A03;13;12
2019;1;A00-B99;A04;345;317
2019;1;A00-B99;A05;170;165
2019;1;A00-B99;A06;37;35
2019;1;A00-B99;A07;407;385
2019;1;A00-B99;A08;9462;9105
2019;1;A00-B99;A09;21038;20148
2019;1;A00-B99;A15;248;222
2019;1;A00-B99;A16;161;149
2019;1;A00-B99;A17;3;3
2019;1;A00-B99;A18;26;21
2019;1;A00-B99;A19;2;2
2019;1;A00-B99;A21;2;2
2019;1;A00-B99;A22;1;1
2019;1;A00-B99;A23;4;4
2019;1;A00-B99;A24;1;1
2019;1;A00-B99;A25;10;10
2019;1;A00-B99;A26;8;8
2019;1;A00-B99;A27;14;12
2019;1;A00-B99;A28;109;92
2019;1;A00-B99;A30;0;0
2019;1;A00-B99;A31;47;43
2019;1;A00-B99;A32;0;0
2019;1;A00-B99;A35;3;3
2019;1;A00-B99;A36;28;26
2019;1;A00-B99;A37;138;119
2019;1;A00-B99;A38;3889;3375
2019;1;A00-B99;A39;11;10
2019;1;A00-B99;A40;13;11
2019;1;A00-B99;A41;73;64
2019;1;A00-B99;A42;9;8
2019;1;A00-B99;A43;1;1
2019;1;A00-B99;A44;5;5
2019;1;A00-B99;A46;1525;1169
2019;1;A00-B99;A48;260;232
2019;1;A00-B99;A49;192;173
2019;1;A00-B99;A50;5;5
2019;1;A00-B99;A51;23;18
2019;1;A00-B99;A52;7;7
2019;1;A00-B99;A53;28;24
2019;1;A00-B99;A54;9;8
2019;1;A00-B99;A55;1;1
2019;1;A00-B99;A56;13;12
2019;1;A00-B99;A57;0;0
2019;1;A00-B99;A58;0;0
2019;1;A00-B99;A59;8;8
2019;1;A00-B99;A60;32;31
2019;1;A00-B99;A63;67;61
2019;1;A00-B99;A64;19;19
2019;1;A00-B99;A65;5;5
2019;1;A00-B99;A66;8;8
2019;1;A00-B99;A67;2;2
2019;1;A00-B99;A68;14;14
2019;1;A00-B99;A69;4864;4353
2019;1;A00-B99;A70;7;7
2019;1;A00-B99;A71;3;3
2019;1;A00-B99;A74;79;73
2019;1;A00-B99;A75;1;1
2019;1;A00-B99;A77;0;0
2019;1;A00-B99;A78;0;0
2019;1;A00-B99;A79;18;15
2019;1;A00-B99;A80;5;5
2019;1;A00-B99;A81;2;2
2019;1;A00-B99;A82;1;1
2019;1;A00-B99;A83;0;0
2019;1;A00-B99;A84;12;12
2019;1;A00-B99;A85;3;3
2019;1;A00-B99;A86;6;6
2019;1;A00-B99;A87;40;32
2019;1;A00-B99;A88;521;499
2019;1;A00-B99;A89;6;5
2019;1;A00-B99;A90;0;0
2019;1;A00-B99;A91;0;0
2019;1;A00-B99;A92;1;1
2019;1;A00-B99;A93;0;0
2019;1;A00-B99;A94;2;2
2019;1;A00-B99;A95;0;0
2019;1;A00-B99;A96;2;2
2019;1;A00-B99;A98;1;1
2019;1;A00-B99;A99;1;1
2019;1;A00-B99;B00;10935;10618
2019;1;A00-B99;B01;29931;26984
2019;1;A00-B99;B02;13370;10930
2019;1;A00-B99;B03;11;10
2019;1;A00-B99;B04;1;1
2019;1;A00-B99;B05;146;132
2019;1;A00-B99;B06;151;138
2019;1;A00-B99;B07;6646;6553
2019;1;A00-B99;B08;6463;6141
2019;1;A00-B99;B09;1772;1662
2019;1;A00-B99;B15;272;194
2019;1;A00-B99;B16;46;44
2019;1;A00-B99;B17;119;110
2019;1;A00-B99;B18;1338;1220
2019;1;A00-B99;B19;130;121
2019;1;A00-B99;B20;17;16
2019;1;A00-B99;B21;0;0
2019;1;A00-B99;B22;6;6
2019;1;A00-B99;B23;14;12
2019;1;A00-B99;B24;21;18
2019;1;A00-B99;B25;81;74
2019;1;A00-B99;B26;238;208
2019;1;A00-B99;B27;1143;889
2019;1;A00-B99;B30;104;97
2019;1;A00-B99;B33;3571;3407
2019;1;A00-B99;B34;6371;6029
2019;1;A00-B99;B35;7372;7067
2019;1;A00-B99;B36;2003;1936
2019;1;A00-B99;B37;4071;3862
2019;1;A00-B99;B38;12;12
2019;1;A00-B99;B39;8;8
2019;1;A00-B99;B40;389;368
2019;1;A00-B99;B41;0;0
2019;1;A00-B99;B42;3;3
2019;1;A00-B99;B43;4;4
2019;1;A00-B99;B44;35;32
2019;1;A00-B99;B45;1;1
2019;1;A00-B99;B46;5;5
2019;1;A00-B99;B47;6;6
2019;1;A00-B99;B48;227;219
2019;1;A00-B99;B49;822;792
2019;1;A00-B99;B50;3;3
2019;1;A00-B99;B51;2;2
2019;1;A00-B99;B52;2;2
2019;1;A00-B99;B53;2;2
2019;1;A00-B99;B54;2;2
2019;1;A00-B99;B55;1;1
2019;1;A00-B99;B56;2;2
2019;1;A00-B99;B57;5;4
2019;1;A00-B99;B58;223;204
2019;1;A00-B99;B59;15;13
2019;1;A00-B99;B60;116;114
2019;1;A00-B99;B64;51;51
2019;1;A00-B99;B65;4;4
2019;1;A00-B99;B66;7;6
2019;1;A00-B99;B67;61;48
2019;1;A00-B99;B68;46;43
2019;1;A00-B99;B69;3;3
